StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2013-10-11 16:45:55;2013-10-11 16:45:55;2013-10-11 16:45:55;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:45:55;2013-10-11 16:45:56;00:00:01;00:00:01;9510;9501.5;0;0;9510;9511;9370;9360.64;9510;9501.5;0;0;141;1;1;9369;9369;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:016;00:00:00:016;;9335;34;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:45:56;2013-10-11 16:45:57;00:00:01;00:00:02;10249;9875.06;0;0;10249;19760;10191;9775.61;10249;9875.06;0;0;199;0;1;10191;19560;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:017;00:00:00:016;;19420;140;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:45:57;2013-10-11 16:45:58;00:00:01;00:00:03;9942;9897.37;0;0;9942;29702;9949;9833.39;9942;9897.37;0;0;192;0;1;9949;29509;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:017;00:00:00:016;;29266;243;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:45:58;2013-10-11 16:45:59;00:00:01;00:00:04;9928;9905.02;0;0;9928;39630;9921;9855.29;9928;9905.02;0;0;199;0;1;9921;39430;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:017;00:00:00:017;;39066;364;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:45:59;2013-10-11 16:46:00;00:00:01;00:00:05;10088;9941.61;0;0;10088;49718;10088;9901.82;10088;9941.61;0;0;199;0;1;10088;49518;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:016;00:00:00:017;;49114;404;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:46:00;2013-10-11 16:46:01;00:00:01;00:00:06;9977;9947.51;0;0;9977;59695;9978;9914.51;9977;9947.51;0;0;198;0;1;9978;59496;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:016;00:00:00:016;;59074;422;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:46:01;2013-10-11 16:46:02;00:00:01;00:00:07;10106;9968.72;0;0;10106;69801;10150;9946.73;10106;9968.72;0;0;154;0;1;10150;69646;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:016;00:00:00:016;;69216;430;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:46:02;2013-10-11 16:46:03;00:00:01;00:00:08;10052;9979.13;0;0;10052;79853;10014;9955.14;10049;9978.75;0;0;192;0;1;10014;79660;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:017;00:00:00:016;;79166;494;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:46:03;2013-10-11 16:46:04;00:00:01;00:00:09;9988;9980.12;0;0;9988;89841;10050;9965.67;9988;9980.12;0;0;130;0;1;10050;89710;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:017;00:00:00:016;;89130;580;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:46:04;2013-10-11 16:46:05;00:00:01;00:00:10;10029;9985;0;0;10029;99870;9960;9965.11;10029;9985;0;0;199;0;1;9960;99670;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:017;00:00:00:016;;99047;623;0;0;0;0;0;
2013-10-11 16:45:55;2013-10-11 16:46:05;2013-10-11 16:46:05;00:00:00;00:00:10;8365.19;9937.94;0;0;2451;102321;9044.37;9937.94;8365.19;9937.94;0;0;0;0;1;2650;102320;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:017;00:00:00:016;;101676;644;0;0;0;0;0;
