StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2013-10-11 16:29:42;2013-10-11 16:29:42;2013-10-11 16:29:42;00:00:00;00:00:00;1000;1000;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:42;2013-10-11 16:29:43;00:00:01;00:00:01;9920;9911.09;0;0;9920;9921;9366;9356.64;9920;9911.09;0;0;555;1;1;9365;9365;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:028;00:00:00:028;;8484;881;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:43;2013-10-11 16:29:44;00:00:01;00:00:02;10040;9975.51;0;0;10040;19961;10254;9805.1;10040;9975.51;0;0;341;0;1;10254;19619;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:031;00:00:00:030;;18060;1559;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:44;2013-10-11 16:29:45;00:00:01;00:00:03;10000;9983.67;0;0;10000;29961;9969;9859.71;10000;9983.67;0;0;372;0;1;9969;29588;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:030;00:00:00:030;;27253;2335;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:45;2013-10-11 16:29:46;00:00:01;00:00:04;9710;9915.27;0;0;9710;39671;9705;9821.04;9710;9915.27;0;0;377;0;1;9705;39293;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:028;00:00:00:029;;36281;3012;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:46;2013-10-11 16:29:47;00:00:01;00:00:05;10301;9990.4;0;0;10301;49972;8287;9512.4;10301;9990.4;0;0;2391;0;1;8287;47580;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:031;00:00:00:030;;43079;4501;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:47;2013-10-11 16:29:48;00:00:01;00:00:06;10029;9996.83;0;0;10029;60001;9032;9432.36;10029;9996.83;0;0;3395;0;1;9025;56605;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:029;00:00:00:030;;51021;5584;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:48;2013-10-11 16:29:49;00:00:01;00:00:07;9970;9993;0;0;9970;69971;9182;9396.6;9784;9966.44;0;0;4176;0;1;9189;65794;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:032;00:00:00:030;;58775;7019;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:49;2013-10-11 16:29:50;00:00:01;00:00:08;10030;9997.63;0;0;10030;80001;9144;9365.03;10211;9997.63;0;0;5062;0;1;9144;74938;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:030;00:00:00:030;;66673;8265;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:50;2013-10-11 16:29:51;00:00:01;00:00:09;9910;9987.89;0;0;9910;89911;8690;9290.05;9910;9987.89;0;0;6282;0;1;8690;83628;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:030;00:00:00:030;;74030;9598;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:52;2013-10-11 16:29:52;00:00:01;00:00:10;10021;9990.2;0;0;10031;99942;8367.63;9196.82;10021;9990.2;0;0;7937;0;1;8376;92004;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:032;00:00:00:030;;81112;10892;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:53;2013-10-11 16:29:53;00:00:01;00:00:11;9989;9990.09;0;0;9989;109931;8877;9167.76;9989;9990.09;0;0;9049;0;1;8877;100881;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:030;00:00:00:030;;88925;11956;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:54;2013-10-11 16:29:54;00:00:01;00:00:12;10029.9;9992.59;0;0;10070;120001;9106.57;9161.88;10029.9;9992.59;0;0;9976;0;1;9143;110024;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:026;00:00:00:030;;97368;12656;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:55;2013-10-11 16:29:55;00:00:01;00:00:13;10036;9995.93;0;0;10036;130037;10016;9227.54;10035;9995.85;0;0;9996;0;1;10016;120040;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:011;00:00:00:028;;107383;12657;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:56;2013-10-11 16:29:56;00:00:01;00:00:14;9826;9983.8;0;0;9826;139863;9590;9253.41;9823;9983.51;0;0;9997;0;1;9590;129630;0;0;0;0;235;235;0;0;0;0;235;235;00:00:00:011;00:00:00:027;;116922;12708;0;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:57;2013-10-11 16:29:57;00:00:01;00:00:15;10199;9998.07;0;0;10199;150071;9325;9258.09;10169;9995.74;0;0;9214;0;1;9325;138963;0;0;0;0;1658;1893;0;0;0;0;1658;1893;00:00:00:032;00:00:00:027;;124777;14185;1;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:58;2013-10-11 16:29:58;00:00:01;00:00:16;9940;9994.44;0;0;9940;160011;9102;9248.34;9970;9994.44;0;0;8981;0;1;9102;148065;0;0;0;0;1071;2964;0;0;0;0;1071;2964;00:00:00:028;00:00:00:027;;133071;14993;1;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:29:59;2013-10-11 16:29:59;00:00:01;00:00:17;10050;9997.71;0;0;10050;170061;8950;9230.81;10050;9997.71;0;0;9262;0;1;8950;157015;0;0;0;0;819;3783;0;0;0;0;819;3783;00:00:00:031;00:00:00:028;;141290;15724;1;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:30:00;2013-10-11 16:30:00;00:00:01;00:00:18;9420;9965.63;0;0;9420;179481;8341;9181.4;9420;9965.63;0;0;9219;0;1;8341;165356;0;0;0;0;1122;4905;0;0;0;0;1122;4905;00:00:00:029;00:00:00:028;;148569;16786;1;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:30:01;2013-10-11 16:30:01;00:00:01;00:00:19;0;9440.9;0;0;0;179481;0;8697.96;0;9440.9;0;0;8013;0;1;0;165356;0;0;0;0;1206;6111;0;0;0;0;1206;6111;00:00:00:000;00:00:00:028;;148569;16786;1;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:30:02;2013-10-11 16:30:02;00:00:01;00:00:20;0;8969.12;0;0;0;179481;0;8263.3;0;8969.12;0;0;6721;0;1;0;165356;0;0;0;0;1292;7403;0;0;0;0;1292;7403;00:00:00:000;00:00:00:028;;148569;16786;1;0;0;0;0;
2013-10-11 16:29:42;2013-10-11 16:30:03;2013-10-11 16:30:03;00:00:01;00:00:21;0;8542.24;0;0;0;179481;0;7870.02;0;8542.24;0;0;5373;0;1;0;165356;0;0;0;0;1348;8751;0;0;0;0;1348;8751;00:00:00:000;00:00:00:028;;148569;16786;1;0;0;0;0;
