StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2013-10-11 16:29:19;2013-10-11 16:29:19;2013-10-11 16:29:19;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:29:19;2013-10-11 16:29:19;2013-10-11 16:29:20;00:00:01;00:00:01;9520;9511.49;0;0;9520;9521;1;0.999001;9521;9511.49;0;0;9520;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:29:19;2013-10-11 16:29:20;2013-10-11 16:29:21;00:00:01;00:00:02;480;4998;0;0;480;10001;0;0.49975;480;4998;0;0;10000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:29:19;2013-10-11 16:29:21;2013-10-11 16:29:22;00:00:01;00:00:03;0;3332.56;0;0;0;10001;0;0.333222;0;3332.56;0;0;10000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:29:19;2013-10-11 16:29:22;2013-10-11 16:29:23;00:00:01;00:00:04;0;2499.62;0;0;0;10001;0;0.249938;0;2499.62;0;0;10000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:29:19;2013-10-11 16:29:23;2013-10-11 16:29:24;00:00:01;00:00:05;0;1999.8;0;0;0;10001;0;0.19996;0;1999.8;0;0;10000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:29:19;2013-10-11 16:29:24;2013-10-11 16:29:25;00:00:01;00:00:06;0;1666.56;0;0;0;10001;0;0.166639;0;1666.56;0;0;10000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:29:19;2013-10-11 16:29:25;2013-10-11 16:29:26;00:00:00;00:00:06;0;1502.78;0;0;0;10001;0;0.150263;0;1502.78;0;0;10000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
