StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);CER received(P);CER received(C);CER sent(P);CER sent(C);CEA received(P);CEA received(C);CEA sent(P);CEA sent(C);UAR received(P);UAR received(C);UAR sent(P);UAR sent(C);UAA received(P);UAA received(C);UAA sent(P);UAA sent(C);SAR received(P);SAR received(C);SAR sent(P);SAR sent(C);SAA received(P);SAA received(C);SAA sent(P);SAA sent(C);LIR received(P);LIR received(C);LIR sent(P);LIR sent(C);LIA received(P);LIA received(C);LIA sent(P);LIA sent(C);MAR received(P);MAR received(C);MAR sent(P);MAR sent(C);MAA received(P);MAA received(C);MAA sent(P);MAA sent(C);RTR received(P);RTR received(C);RTR sent(P);RTR sent(C);RTA received(P);RTA received(C);RTA sent(P);RTA sent(C);PPR received(P);PPR received(C);PPR sent(P);PPR sent(C);PPA received(P);PPA received(C);PPA sent(P);PPA sent(C);User-Name received(P);User-Name received(C);User-Name sent(P);User-Name sent(C);Host-IP-Address received(P);Host-IP-Address received(C);Host-IP-Address sent(P);Host-IP-Address sent(C);Auth-Application-Id received(P);Auth-Application-Id received(C);Auth-Application-Id sent(P);Auth-Application-Id sent(C);Acct-Application-Id received(P);Acct-Application-Id received(C);Acct-Application-Id sent(P);Acct-Application-Id sent(C);Vendor-Specific-Application-Id received(P);Vendor-Specific-Application-Id received(C);Vendor-Specific-Application-Id sent(P);Vendor-Specific-Application-Id sent(C);Session-Id received(P);Session-Id received(C);Session-Id sent(P);Session-Id sent(C);Origin-Host received(P);Origin-Host received(C);Origin-Host sent(P);Origin-Host sent(C);Supported-Vendor-Id received(P);Supported-Vendor-Id received(C);Supported-Vendor-Id sent(P);Supported-Vendor-Id sent(C);Vendor-Id received(P);Vendor-Id received(C);Vendor-Id sent(P);Vendor-Id sent(C);Firmware-Revision received(P);Firmware-Revision received(C);Firmware-Revision sent(P);Firmware-Revision sent(C);Result-Code received(P);Result-Code received(C);Result-Code sent(P);Result-Code sent(C);Product-Name received(P);Product-Name received(C);Product-Name sent(P);Product-Name sent(C);Auth-Session-State received(P);Auth-Session-State received(C);Auth-Session-State sent(P);Auth-Session-State sent(C);Origin-State-Id received(P);Origin-State-Id received(C);Origin-State-Id sent(P);Origin-State-Id sent(C);Destination-Realm received(P);Destination-Realm received(C);Destination-Realm sent(P);Destination-Realm sent(C);Destination-Host received(P);Destination-Host received(C);Destination-Host sent(P);Destination-Host sent(C);Origin-Realm received(P);Origin-Realm received(C);Origin-Realm sent(P);Origin-Realm sent(C);Experimental-Result received(P);Experimental-Result received(C);Experimental-Result sent(P);Experimental-Result sent(C);Experimental-Result-Code received(P);Experimental-Result-Code received(C);Experimental-Result-Code sent(P);Experimental-Result-Code sent(C);Visited-Network-Identifier received(P);Visited-Network-Identifier received(C);Visited-Network-Identifier sent(P);Visited-Network-Identifier sent(C);Public-Identity received(P);Public-Identity received(C);Public-Identity sent(P);Public-Identity sent(C);Server-Name received(P);Server-Name received(C);Server-Name sent(P);Server-Name sent(C);Server-Assignment-Type received(P);Server-Assignment-Type received(C);Server-Assignment-Type sent(P);Server-Assignment-Type sent(C);User-Authorization-Type received(P);User-Authorization-Type received(C);User-Authorization-Type sent(P);User-Authorization-Type sent(C);User-Data-Request-Type received(P);User-Data-Request-Type received(C);User-Data-Request-Type sent(P);User-Data-Request-Type sent(C);User-Data-Already-Available received(P);User-Data-Already-Available received(C);User-Data-Already-Available sent(P);User-Data-Already-Available sent(C);
2013-10-11 15:59:44;2013-10-11 15:59:44;2013-10-11 15:59:44;00:00:00;00:00:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;0;0;2;2;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;2;2;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2013-10-11 15:59:44;2013-10-11 15:59:44;2013-10-11 15:59:49;00:00:05;00:00:05;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49511;49511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;49511;49513;0;0;49511;49513;0;0;49511;49512;0;0;49511;49511;1;1;49511;49512;0;0;0;1;1;1;49511;49513;0;0;0;1;1;1;0;0;1;1;0;1;0;0;49511;49511;0;0;0;1;0;0;49511;49511;0;0;49511;49511;1;1;49511;49512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49511;49511;0;0;49511;49511;0;0;49511;49511;0;0;0;0;0;0;49511;49511;0;0;0;0;
2013-10-11 15:59:44;2013-10-11 15:59:49;2013-10-11 15:59:54;00:00:05;00:00:10;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;489;50002;0;0;489;50002;0;0;489;50001;0;0;489;50000;0;1;489;50001;0;0;0;1;0;1;489;50002;0;0;0;1;0;1;0;0;0;1;0;1;0;0;489;50000;0;0;0;1;0;0;489;50000;0;0;489;50000;0;1;489;50001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489;50000;0;0;489;50000;0;0;489;50000;0;0;0;0;0;0;489;50000;0;0;0;0;
2013-10-11 15:59:44;2013-10-11 15:59:54;2013-10-11 15:59:59;00:00:05;00:00:15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48315;98315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;48316;98318;0;0;48316;98318;0;0;48316;98317;0;0;48316;98316;0;1;48316;98317;0;0;0;1;0;1;48316;98318;0;0;0;1;0;1;0;0;0;1;0;1;0;0;48316;98316;0;0;0;1;0;0;48316;98316;0;0;48316;98316;0;1;48316;98317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48316;98316;0;0;48316;98316;0;0;48316;98316;0;0;0;0;0;0;48316;98316;0;0;0;0;
2013-10-11 15:59:44;2013-10-11 15:59:59;2013-10-11 16:00:04;00:00:05;00:00:20;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1685;100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1684;100002;0;0;1684;100002;0;0;1684;100001;0;0;1684;100000;0;1;1684;100001;0;0;0;1;0;1;1684;100002;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1684;100000;0;0;0;1;0;0;1684;100000;0;0;1684;100000;0;1;1684;100001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1684;100000;0;0;1684;100000;0;0;1684;100000;0;0;0;0;0;0;1684;100000;0;0;0;0;
2013-10-11 15:59:44;2013-10-11 16:00:04;2013-10-11 16:00:09;00:00:05;00:00:25;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46870;146870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;46870;146872;0;0;46870;146872;0;0;46870;146871;0;0;46870;146870;0;1;46870;146871;0;0;0;1;0;1;46870;146872;0;0;0;1;0;1;0;0;0;1;0;1;0;0;46870;146870;0;0;0;1;0;0;46870;146870;0;0;46870;146870;0;1;46870;146871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46870;146870;0;0;46870;146870;0;0;46870;146870;0;0;0;0;0;0;46870;146870;0;0;0;0;
2013-10-11 15:59:44;2013-10-11 16:00:09;2013-10-11 16:00:14;00:00:05;00:00:30;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3130;150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;3130;150002;0;0;3130;150002;0;0;3130;150001;0;0;3130;150000;0;1;3130;150001;0;0;0;1;0;1;3130;150002;0;0;0;1;0;1;0;0;0;1;0;1;0;0;3130;150000;0;0;0;1;0;0;3130;150000;0;0;3130;150000;0;1;3130;150001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3130;150000;0;0;3130;150000;0;0;3130;150000;0;0;0;0;0;0;3130;150000;0;0;0;0;
2013-10-11 15:59:44;2013-10-11 16:00:14;2013-10-11 16:00:19;00:00:05;00:00:35;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45561;195561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;45561;195563;0;0;45561;195563;0;0;45561;195562;0;0;45561;195561;0;1;45561;195562;0;0;0;1;0;1;45561;195563;0;0;0;1;0;1;0;0;0;1;0;1;0;0;45561;195561;0;0;0;1;0;0;45561;195561;0;0;45561;195561;0;1;45561;195562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45561;195561;0;0;45561;195561;0;0;45561;195561;0;0;0;0;0;0;45561;195561;0;0;0;0;
2013-10-11 15:59:44;2013-10-11 16:00:19;2013-10-11 16:00:24;00:00:05;00:00:40;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4439;200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;4439;200002;0;0;4439;200002;0;0;4439;200001;0;0;4439;200000;0;1;4439;200001;0;0;0;1;0;1;4439;200002;0;0;0;1;0;1;0;0;0;1;0;1;0;0;4439;200000;0;0;0;1;0;0;4439;200000;0;0;4439;200000;0;1;4439;200001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4439;200000;0;0;4439;200000;0;0;4439;200000;0;0;0;0;0;0;4439;200000;0;0;0;0;
2013-10-11 15:59:44;2013-10-11 16:00:24;2013-10-11 16:00:29;00:00:05;00:00:45;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38320;238320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;38320;238322;0;0;38320;238322;0;0;38320;238321;0;0;38320;238320;0;1;38320;238321;0;0;0;1;0;1;38320;238322;0;0;0;1;0;1;0;0;0;1;0;1;0;0;38320;238320;0;0;0;1;0;0;38320;238320;0;0;38320;238320;0;1;38320;238321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38320;238320;0;0;38320;238320;0;0;38320;238320;0;0;0;0;0;0;38320;238320;0;0;0;0;
