StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2013-10-11 15:42:22;2013-10-11 15:42:22;2013-10-11 15:42:22;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 15:42:22;2013-10-11 15:42:22;2013-10-11 15:42:23;00:00:01;00:00:01;996;996.004;0;0;996;997;966;965.035;996;996.004;0;0;31;1;1;965;965;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:026;00:00:00:026;;965;0;0;0;0;0;0;
2013-10-11 15:42:22;2013-10-11 15:42:23;2013-10-11 15:42:24;00:00:01;00:00:02;984;990.005;0;0;984;1981;989;977.011;984;990.005;0;0;26;0;1;989;1954;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:025;00:00:00:025;;1954;0;0;0;0;0;0;
2013-10-11 15:42:22;2013-10-11 15:42:24;2013-10-11 15:42:25;00:00:01;00:00:03;984;987.675;0;0;984;2965;987;980.013;984;987.675;0;0;23;0;1;987;2941;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:025;00:00:00:025;;2941;0;0;0;0;0;0;
2013-10-11 15:42:22;2013-10-11 15:42:25;2013-10-11 15:42:26;00:00:01;00:00:04;1025;997.002;0;0;1025;3990;1028;992.004;1025;997.002;0;0;20;0;1;1028;3969;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:025;00:00:00:025;;3969;0;0;0;0;0;0;
2013-10-11 15:42:22;2013-10-11 15:42:26;2013-10-11 15:42:27;00:00:00;00:00:04;956.454;991.389;0;0;615;4605;987.558;991.389;956.454;991.389;0;0;0;0;1;635;4604;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:028;00:00:00:025;;4604;0;0;0;0;0;0;
