StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2013-10-11 16:43:31;2013-10-11 16:43:31;2013-10-11 16:43:31;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:31;2013-10-11 16:43:32;00:00:01;00:00:01;3000;2998;0;0;3000;3001;1;0.999001;3000;2998;0;0;3000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:32;2013-10-11 16:43:33;00:00:01;00:00:02;0;1499.75;0;0;0;3001;0;0.49975;0;1499.75;0;0;3000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:33;2013-10-11 16:43:34;00:00:01;00:00:03;0;1000;0;0;0;3001;0;0.333222;0;1000;0;0;3000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:34;2013-10-11 16:43:35;00:00:01;00:00:04;0;749.875;0;0;0;3001;0;0.249875;0;749.875;0;0;3000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:35;2013-10-11 16:43:36;00:00:01;00:00:05;0;599.96;0;0;0;3001;0;0.19992;0;599.96;0;0;3000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:36;2013-10-11 16:43:37;00:00:01;00:00:06;0;500;0;0;0;3001;0;0.166611;0;500;0;0;3000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:37;2013-10-11 16:43:38;00:00:01;00:00:07;0;428.531;0;0;0;3001;0;0.142796;0;428.531;0;0;3000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:38;2013-10-11 16:43:39;00:00:01;00:00:08;0;374.984;0;0;0;3001;0;0.124953;0;374.984;0;0;3000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:01:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:39;2013-10-11 16:43:40;00:00:01;00:00:09;0;333.333;0;0;0;3001;0;0.111074;0;333.333;0;0;3000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:40;2013-10-11 16:43:41;00:00:01;00:00:10;0;300.01;0;0;0;3001;0;0.09997;0;300.01;0;0;3000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:41;2013-10-11 16:43:42;00:00:01;00:00:11;3000;545.347;0;0;3000;6001;0;0.090876;3000;545.347;0;0;3000;0;1;0;0;0;0;0;0;3000;3000;0;0;0;0;3000;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:42;2013-10-11 16:43:43;00:00:01;00:00:12;0;499.917;0;0;0;6001;0;0.0833056;0;499.917;0;0;3000;0;1;0;0;0;0;0;0;0;3000;0;0;0;0;0;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:43;2013-10-11 16:43:44;00:00:01;00:00:13;0;461.473;0;0;0;6001;0;0.0768994;0;461.473;0;0;3000;0;1;0;0;0;0;0;0;0;3000;0;0;0;0;0;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:44;2013-10-11 16:43:45;00:00:01;00:00:14;0;428.52;0;0;0;6001;0;0.0714082;0;428.52;0;0;3000;0;1;0;0;0;0;0;0;0;3000;0;0;0;0;0;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:45;2013-10-11 16:43:46;00:00:01;00:00:15;0;399.933;0;0;0;6001;0;0.0666445;0;399.933;0;0;3000;0;1;0;0;0;0;0;0;0;3000;0;0;0;0;0;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:46;2013-10-11 16:43:47;00:00:01;00:00:16;0;374.945;0;0;0;6001;0;0.0624805;0;374.945;0;0;3000;0;1;0;0;0;0;0;0;0;3000;0;0;0;0;0;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:47;2013-10-11 16:43:48;00:00:01;00:00:17;0;352.896;0;0;0;6001;0;0.0588062;0;352.896;0;0;3000;0;1;0;0;0;0;0;0;0;3000;0;0;0;0;0;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:48;2013-10-11 16:43:49;00:00:01;00:00:18;0;333.296;0;0;0;6001;0;0.0555401;0;333.296;0;0;3000;0;1;0;0;0;0;0;0;0;3000;0;0;0;0;0;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:49;2013-10-11 16:43:50;00:00:01;00:00:19;0;315.742;0;0;0;6001;0;0.052615;0;315.742;0;0;3000;0;1;0;0;0;0;0;0;0;3000;0;0;0;0;0;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:50;2013-10-11 16:43:51;00:00:01;00:00:20;0;299.96;0;0;0;6001;0;0.049985;0;299.96;0;0;3000;0;1;0;0;0;0;0;0;0;3000;0;0;0;0;0;3000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:51;2013-10-11 16:43:52;00:00:01;00:00:21;3000;428.497;0;0;3000;9001;0;0.0476054;3000;428.497;0;0;3000;0;1;0;0;0;0;0;0;3000;6000;0;0;0;0;3000;6000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:52;2013-10-11 16:43:53;00:00:01;00:00:22;0;409.025;0;0;0;9001;0;0.0454422;0;409.025;0;0;3000;0;1;0;0;0;0;0;0;0;6000;0;0;0;0;0;6000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:53;2013-10-11 16:43:54;00:00:01;00:00:23;0;391.229;0;0;0;9001;0;0.043465;0;391.229;0;0;3000;0;1;0;0;0;0;0;0;0;6000;0;0;0;0;0;6000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:43:31;2013-10-11 16:43:54;2013-10-11 16:43:55;00:00:01;00:00:24;0;374.932;0;0;0;9001;0;0.0416545;0;374.932;0;0;3000;0;1;0;0;0;0;0;0;0;6000;0;0;0;0;0;6000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
