StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2013-10-11 16:49:58;2013-10-11 16:49:58;2013-10-11 16:49:58;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:49:58;2013-10-11 16:49:58;2013-10-11 16:49:59;00:00:01;00:00:01;9959;9950.05;0;0;9959;9960;9661;9651.35;9959;9950.05;0;0;299;1;1;9660;9660;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:022;00:00:00:022;;9658;3;0;0;0;0;0;
2013-10-11 16:49:58;2013-10-11 16:49:59;2013-10-11 16:50:00;00:00:01;00:00:02;9985;9968.02;0;0;9985;19946;9992;9822.09;9986;9968.02;0;0;292;0;1;9992;19653;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:023;00:00:00:023;;19546;107;0;0;0;0;0;
2013-10-11 16:49:58;2013-10-11 16:50:00;2013-10-11 16:50:01;00:00:01;00:00:03;9885;9940.35;0;0;9885;29831;10098;9914.03;9885;9940.35;0;0;79;0;1;10098;29751;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:022;00:00:00:022;;29592;159;0;0;0;0;0;
2013-10-11 16:49:58;2013-10-11 16:50:01;2013-10-11 16:50:02;00:00:01;00:00:04;10155;9994;0;0;10155;39986;9938;9920.02;10155;9994;0;0;296;0;1;9938;39689;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:022;00:00:00:022;;39452;239;0;0;0;0;0;
2013-10-11 16:49:58;2013-10-11 16:50:02;2013-10-11 16:50:03;00:00:01;00:00:05;9913;9978.6;0;0;9913;49903;9912;9918.82;9916;9978.4;0;0;299;0;1;9912;49603;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:023;00:00:00:023;;49238;366;0;0;0;0;0;
2013-10-11 16:49:58;2013-10-11 16:50:03;2013-10-11 16:50:04;00:00:01;00:00:06;9998;9980.34;0;0;9998;59902;9997;9930.52;9999;9980.34;0;0;299;0;1;9997;59602;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:022;00:00:00:022;;59093;509;0;0;0;0;0;
2013-10-11 16:49:58;2013-10-11 16:50:04;2013-10-11 16:50:05;00:00:01;00:00:07;10044;9989.43;0;0;10044;69946;10052;9947.87;10034;9988;0;0;291;0;1;10052;69654;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:024;00:00:00:023;;69042;612;0;0;0;0;0;
2013-10-11 16:49:58;2013-10-11 16:50:05;2013-10-11 16:50:06;00:00:01;00:00:08;9999;9990.63;0;0;9999;79945;9999;9954.26;10009;9990.63;0;0;291;0;1;9999;79653;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:022;00:00:00:023;;78943;710;0;0;0;0;0;
2013-10-11 16:49:58;2013-10-11 16:50:06;2013-10-11 16:50:07;00:00:00;00:00:08;9193.24;9950.22;0;0;3806;83751;9896.14;9950.22;9193.24;9950.22;0;0;0;0;1;4097;83750;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:023;00:00:00:023;;82966;784;0;0;0;0;0;
