StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2013-10-11 16:42:23;2013-10-11 16:42:23;2013-10-11 16:42:23;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:42:23;2013-10-11 16:42:23;2013-10-11 16:42:24;00:00:01;00:00:01;8982;8974.03;0;0;8982;8983;8684;8675.32;8982;8974.03;0;0;299;1;1;8683;8683;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:028;00:00:00:028;;8295;388;0;0;0;0;0;
2013-10-11 16:42:23;2013-10-11 16:42:24;2013-10-11 16:42:25;00:00:01;00:00:02;8964;8969.02;0;0;8964;17947;9070;8872.56;8964;8969.02;0;0;193;0;1;9070;17753;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:028;00:00:00:028;;17088;665;0;0;0;0;0;
2013-10-11 16:42:23;2013-10-11 16:42:25;2013-10-11 16:42:26;00:00:01;00:00:03;8991;8976.34;0;0;8991;26938;9070;8938.35;8991;8976.34;0;0;114;0;1;9070;26823;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:026;00:00:00:027;;25835;988;0;0;0;0;0;
2013-10-11 16:42:23;2013-10-11 16:42:26;2013-10-11 16:42:27;00:00:01;00:00:04;9063;8995.75;0;0;9063;36001;8752;8889.56;9063;8995.75;0;0;425;0;1;8752;35575;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:029;00:00:00:028;;34189;1386;0;0;0;0;0;
2013-10-11 16:42:23;2013-10-11 16:42:27;2013-10-11 16:42:28;00:00:01;00:00:05;8991;8994.8;0;0;8991;44992;9011;8913.83;8991;8994.8;0;0;405;0;1;9011;44586;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:029;00:00:00:028;;42939;1647;0;0;0;0;0;
2013-10-11 16:42:23;2013-10-11 16:42:28;2013-10-11 16:42:29;00:00:01;00:00:06;8739;8952.18;0;0;8739;53731;9024;8932.19;8739;8952.18;0;0;120;0;1;9024;53610;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:029;00:00:00:028;;51631;1979;0;0;0;0;0;
2013-10-11 16:42:23;2013-10-11 16:42:29;2013-10-11 16:42:30;00:00:01;00:00:07;9153;8980.86;0;0;9153;62884;8859;8921.74;9153;8980.86;0;0;414;0;1;8859;62469;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:028;00:00:00:028;;60048;2421;0;0;0;0;0;
2013-10-11 16:42:23;2013-10-11 16:42:30;2013-10-11 16:42:31;00:00:01;00:00:08;9117;8997.88;0;0;9117;72001;9169;8952.64;9104;8996.25;0;0;362;0;1;9169;71638;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:032;00:00:00:029;;68419;2934;285;0;0;0;0;
2013-10-11 16:42:23;2013-10-11 16:42:31;2013-10-11 16:42:32;00:00:01;00:00:09;8964;8994.11;0;0;8964;80965;9079;8966.67;8970;8994.11;0;0;247;0;1;9079;80717;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:029;00:00:00:029;;76689;3743;285;0;0;0;0;
